question,answer
"Когда был образован Санкт-Петербургский Союз строительных компаний «Союзпетрострой»?","Учредительное собрание прошло 21 декабря 1994 г., а документы Союза были зарегистрированы 27 февраля 1995 г."
"Кто был первым президентом и директором «Союзпетростроя»?","Президентом избрали депутата Законодательного собрания В. М. Гольмана, директором стал профессор, д. э. н. Л. М. Каплан."
"Сколько человек работало в дирекции Союза в начале его деятельности?","Первоначальная дирекция состояла из пяти сотрудников под руководством Л. М. Каплана."
"Какие крупные организации подписали учредительный устав Союза?","Среди подписантов были «Метрострой», «Энергомашстрой», «Трест 36», «Гатчинский ССК», «Мостострой-6», ЛИСИ и «Трест 39»."
"Откуда происходили организации-учредители?","Они представляли бывшие ведомственные структуры: Главленинградстрой, Главзапстрой, Министерство транспортного строительства и др."
"Почему образование Союза было необычным для того времени?","Впервые компании из разных ведомств объединились в одну общественную ассоциацию, преодолев административные перегородки советской системы."
"Где проходили обучение многие руководители-учредители?","Большинство из них училось в Манчестерском университете науки и технологий (UMIST) и знакомилось там с опытом зарубежных отраслевых ассоциаций."
"Какая была главная задача Союза в первый год работы?","Наладить сбор информации о деятельности компаний и их проблемах, чтобы эффективно представлять интересы участников."
"Когда и зачем начала выходить издание «Справочник Союзпетростроя»?","С 1996 года Союз выпускает структурированный справочник с данными о входящих компаниях для наведения порядка в отраслевой информации."
"С какими властями и по каким темам Союз проводил совещания в 1995-1996 годах?","Проходили встречи с мэрией и депстроем Санкт-Петербурга (А. А. Собчак, В. А. Яковлев и др.) по Олимпийским играм, тендерам, инвестпрограмме и кредитованию жилья Всемирным банком."
"Какую законодательную инициативу Союз внёс в Законодательное собрание в 1995 году?","Президент В. М. Гольман представил проект закона «О создании условий для инвестиционно-строительной деятельности в Санкт-Петербурге»."
"Какие профессиональные клубы были созданы на базе Союза в 1996 году?","Клуб главных бухгалтеров и Клуб юристов, где приглашённые аудиторы и юристы обсуждали актуальные финансовые и правовые вопросы отрасли."
"Какие информационные сервисы Союз предоставлял компаниям в 1997 году?","Электронные базы данных о строящихся и реконструируемых объектах и рассылка сведений о тендерах и запросах на работы."
"Насколько выросло членство Союза за первые пять лет?","К 1999 году число компаний достигло 227, увеличение в 5,8 раз по сравнению с 1995 годом."
"Какие типы организаций кроме строителей входили в Союз?","Производители стройматериалов, профильные вузы, страховые компании, коммерческие банки, издательства и другие участники инвест-строительного комплекса."
"Как участие страховых компаний помогло отрасли?","Членство 12 страховых фирм позволило совместно со строителями создать систему страхования строительных рисков."
"Сколько аналитических материалов выпустила дирекция за первые пять лет?","Опубликовано 19 обзоров, пособий и докладов о состоянии строительного рынка."
"Что такое система долевого участия с элементом ипотеки, разработанная Союзом в 1998-1999 годах?","Это схема привлечения средств граждан под строительство жилья с последующим ипотечным кредитованием, оформленная совместно с «Балтийским банком»."
"Для чего был создан Совет ассоциаций и союзов инвестиционного и градостроительного комплекса Санкт-Петербурга?","После кризиса 1998 года он объединил профорганизации для взаимных расчётов, продвижения ипотеки и решения общегородских проблем; стал прообразом Союза строительных объединений (2002 г.)."
"Какие иностранные компании являлись членами Союза в 1990-е годы?","Среди них «Skanska», «NCC», «Honeywell», «Onninen», «Schlumberger Industries», «Tikkurila», «Deutsche Doka» и др., что укрепило международные связи отрасли."
"Как Союз содействовал достижению рубежа в миллион квадратных метров жилья в 1999 году?","Он поддерживал застройщиков-членов («Энергомашстрой», «ЛенСпецСМУ», «ДСК-3» и др.) и продвигал схемы долевого строительства."
"Какие профильные секции были образованы в 1999 году и какая отличилась особенной активностью?","Сформировано 9 секций по видам деятельности; наиболее результативной стала Энергетическая секция под председательством Я. М. Абугова с ежемесячными заседаниями."
"Какие социальные и спортивные мероприятия проводил Союз?","Регулярные мини-футбольные турниры на «Кубок Союзпетростроя», совместные праздники и экскурсии, а здание на Захарьевской 31 стало клубом строителей."
"Чем завершились первые пять лет работы «Союзпетростроя»?","Были заложены институциональные основы рынка, отработаны механизмы взаимодействия бизнеса и власти и доказана практическая польза Союза для строительного комплекса."
"Зачем Союз создавал консорциумы компаний в 1998 году?","Для совместного участия в тендерах на крупные городские объекты, такие как подготовка территории «Пулково-3» и реконструкция дворов Капеллы."
"Сколько компаний входило в «Союзпетрострой» к концу 2004 года?","В конце 2004 года членами Союза были 439 компаний."
"Сколько новых компаний вступило во вторую пятилетку (2000–2004 годы)?","За вторую пятилетку прибавилось 212 компаний."
"Какова была доля малого и среднего бизнеса среди членов Союза к концу 2004 года?","Малый и средний бизнес составлял 73 % общего состава."
"Как распределялись компании по видам деятельности к началу 2005 года?","Общестроительные работы — 31 %, специализированные работы — 26 %, производство и поставка материалов и конструкций — 26 %, обучение / информация / консалтинг — 8 %, страхование — 4 %, проектно-изыскательские работы — 2 %, банки — 2 %."
"Назовите примеры иностранных компаний, вступивших в Союз во вторую пятилетку.","Среди новых членов были «ABB Индустри», «Алсель СПб», «Deutsche Doka», «Raiffeisen Bank», «Honeywell» и другие."
"В разработке какого городского закона о недвижимости принимал активное участие «Союзпетрострой»?","В создании закона Санкт-Петербурга о проведении торгов на объекты недвижимости, принадлежащие городу."
"Что такое программа «Общественное признание», запущенная при участии Союза?","Это программа поощрения надёжных и успешных компаний; многие члены Союза стали её лауреатами."
"Что такое ЭСОН и когда он был создан?","Экспертный совет по определению надёжности предприятий строительного комплекса (ЭСОН) учреждён в 2000 году для оценки компаний разных профилей."
"Сколько руководителей объединил «Партнёрский клуб честного строительного бизнеса» и когда он появился?","Клуб, созданный в 2001 году совместно с Международным центром деловой этики, объединил 32 руководителя компаний."
"Какое профессиональное СМИ появилось в 2002 году при поддержке Союза?","Еженедельная отраслевая газета «Строительный Еженедельник». "
"Сколько конференций и семинаров провёл Союз в 2000–2004 годах?","За пять лет проведено 28 отраслевых конференций и семинаров по вопросам девелопмента, финансов, страхования, материалов, сметного дела и др."
"В чём заключалась программа «Финрусстрой», реализованная в 2002 году?","Это совместная учебная программа с Александровским институтом Хельсинского университета в формате видеоконференций между петербургскими и финскими строителями."
"Какую новую городскую общественную структуру учредил Союз в декабре 2002 года?","Стал одним из основателей Союза строительных организаций и объединений (ССОО), объединившего отраслевые ассоциации города."
"Какой трёхтомный сборник выпустил Союз к 300-летию Санкт-Петербурга?","«Инвестиционно-строительный комплекс Санкт-Петербурга», включающий материалы о 500 компаниях города."
"Кто написал вступительную статью «300 лет строительства Санкт-Петербурга» в юбилейном сборнике?","Автором был вице-президент и директор Союза, д. э. н., профессор Л. М. Каплан."
"Сколько последующих томов сборника вышло после юбилея?","После празднования были изданы ещё четвёртый и пятый тома."
"Какую систему мониторинга отрасли разрабатывал Союз в 2003 году?","Создана сертификационная комиссия, стандарты профдеятельности и система досудебного урегулирования споров — фактически прообраз будущих СРО."
"Какой протокол о подключении строек к электросетям был подписан в марте 2004 года?","Протокол о принципах взаимодействия Правительства Санкт-Петербурга, застройщиков и ОАО «Ленэнерго», подготовленный при участии Союза."
"В какую организацию вступил Союз в 2004 году и какой комитет там основал?","Союз присоединился к Санкт-Петербургской Торгово-промышленной палате и создал в ней Комитет по предпринимательству в сфере строительства."
"Какое соглашение о международном сотрудничестве заключил Союз в 2004 году?","Подписан договор о сотрудничестве с Финско-Российской Торговой палатой."
"Какие городские конкурсы в сфере строительства инициировал Союз в 2004 году?","Учредил конкурс «Строитель года» и участвовал в организации конкурса «За лучшее здание, построенное в Санкт-Петербурге». "
"Сколько заявок поступило на конкурс «За лучшее здание» в 2005 году?","На первый конкурс 2005 года было подано 9 заявок."
"Во сколько раз увеличилось число членов Союза за первое десятилетие (1995–2005 годы)?","За десять лет количество компаний выросло в 10 раз."
"Сколько иностранных компаний состояло в Союзе к 2000 году?","Число иностранных участников достигло 20."
"Назовите три основные тенденции изменения состава Союза за 1995–2005 годы.","(1) активный приход малых и средних компаний; (2) диверсификация за счёт страховых, аудиторских, издательских, учебных и прочих организаций; (3) рост числа иностранных компаний на российском рынке."
"Зачем Союз организовывал зарубежные поездки и корпоративные праздники?","Для неформального общения руководителей, укрепления партнёрских связей и создания единого профессионального сообщества."
"Где и когда отмечалось 10-летие «Союзпетростроя» и кто из властей участвовал?","Юбилей отпраздновали в феврале 2005 г.; в торжествах участвовали губернатор В. И. Матвиенко, вице-губернатор А. И. Вахмистров, председатель комиссии ЗАКСа М. И. Амосов и другие официальные лица."
"Сколько компаний состояло в «Союзпетрострое» к концу 2009 года?","Количество членов достигло 524 компаний Санкт-Петербурга."
"На сколько компаний вырос Союз в третью пятилетку (2005–2009 гг.)?","Прирост составил 115 новых компаний различных профилей."
"Какие отраслевые участники входили в Союз помимо строителей к 2009 году?","В составе были 22 страховые компании, 10 коммерческих банков, 3 университета, 12 издательств и другие организации инвестиционно-строительного комплекса."
"Как «Союзпетрострой» реагировал на кризис 2008–2009 годов?","Воссоздал Совет руководителей отраслевых общественных организаций, наладил систему взаимных расчётов и совместных услуг, что помогло преодолеть последствия кризиса."
"Какой вклад Союз внёс в развитие проектного кредитования?","В 2008 году разработал методику проектного кредитования на базе зарубежного опыта; её впервые применили при строительстве объектов саммита на острове Русский, а массово она вошла в жилищное строительство лишь с 2019 года."
"В каком федеральном органе работал Л. М. Каплан по приглашению В. А. Яковлева?","Он вошёл в Общественный совет Минрегиона России, участвуя в обсуждении приватизации, поддержки малого и среднего бизнеса и развития торгов."
"Какую позицию занял «Союзпетрострой» в вопросе саморегулирования?","На совещании с министром В. Ф. Басаргиным Л. М. Каплан поддержал идею СРО, однако Союз решил не превращаться в СРО, а создать такие организации при нём."
"Чем завершилось законодательное обсуждение саморегулирования в строительстве?","Вместо обсуждаемого проекта был принят вариант М. Л. Шаккума, сведший СРО к выдаче допуска на опасные работы и сделавший членство обязательным."
"Почему «Союзпетрострой» не стал преобразовываться в СРО?","У Союза были шире функции, а только 60 % членов занимались строительством и проектированием; решили учредить отдельные СРО, сохраняя добровольное членство в Союзе."
"Какие СРО появились на базе Союза и когда?","В 2009 году созданы строительная СРО «Союзпетрострой-Стандарт» (2-я в Петербурге, 8-я в России) и проектная СРО «Союзпетрострой-Проект» (1-я в СЗФО)."
"Как обязательное членство в СРО повлияло на Союз?","Многие малые и средние компании не смогли платить взносы одновременно в СРО и Союз, что снизило численность Союза."
"Какую долю членов Союза к 2009 году составляли организации, непосредственно связанные со строительством и проектированием?","Около 60 % компаний занимались именно строительством или проектированием."
"Кто сыграл решающую роль в поддержке идеи саморегулирования на федеральном совещании?","Первым выступил Л. М. Каплан, чьё одобрение послужило примером для других руководителей союзов."
"Какие банки из числа коммерческих участников Союза упомянуты в тексте?","Промстройбанк, Балтийский Банк, Гута-Банк, Констанс-Банк и другие."
"Как Совет руководителей общественных организаций помогал в кризисах 1998 и 2008 годов?","Организовывал взаимные расчёты и услуги между компаниями, что ускоряло восстановление отрасли."
"Почему новая редакция закона о СРО вызвала критику?","Она фактически превратила СРО в монопольные структуры с обязательным членством и значительным оттоком средств из реального сектора."
"Какие темы докладов Л. М. Каплана звучали в Общественном совете Минрегиона?","Поддержка малого и среднего бизнеса, вопросы приватизации в отрасли, развитие торгов и другие актуальные проблемы строительства."
"В чём ключевое отличие «Союзпетростроя» от саморегулируемых организаций (СРО) в четвёртую пятилетку?","Союз оставался независимым бизнес-сообществом: его создателями и высшим органом были сами компании-члены, а не государство, поэтому направления работы определялись их волей, независимо от меняющегося законодательства."
"Сколько СРО при участии «Союзпетростроя» действовали в строительстве и проектировании?","Две: строительная и проектная, обе носили в названии «Союзпетрострой»."
"Какую роль играл «Институт проблем саморегулирования», созданный с участием Союза?","Он стал площадкой для анализа и улучшения системы СРО; заместителем председателя совета института был Л. М. Каплан."
"Какое ключевое изменение в системе СРО удалось добиться благодаря критике Союза?","Отменена обязанность СРО выдавать допуски на отдельные виды изыскательских, проектных и строительных работ."
"Какой федеральный закон № 214-ФЗ и когда был принят при активном участии Союза?","30 декабря 2004 г. принят закон «Об участии в долевом строительстве многоквартирных домов…», регулирующий рынок долевого участия."
"Почему закон о долевом строительстве был необходим?","Он защищал граждан от недобросовестных застройщиков и появившихся «обманутых дольщиков», задавая прозрачные правила для рынка."
"Какая структура была создана для капитального ремонта жилья и как Союз участвовал?","Образован Санкт-Петербургский Фонд капитального ремонта; Союз добивался участия малых и средних компаний и критиковал методику отбора работ и финансирования."
"Кого «Союзпетрострой» предложил на должность президента Российского Союза строителей?","В. А. Яковлева, при этом В. Н. Забелин стал Почётным президентом РСС по предложению Союза."
"Сколько региональных организаций подписали открытое письмо президенту РФ по проблеме неплатежей?","Четырнадцать региональных строительных ассоциаций."
"Какую поправку в Гражданский кодекс предлагал Союз?","Усилить ответственность заказчиков за своевременное принятие и оплату выполненных строительно-монтажных работ."
"В разработке какого стратегического документа города участвовал Союз?","В подготовке Стратегии экономического и социального развития Санкт-Петербурга до 2023 года, касательно инвестиционно-строительного комплекса."
"Какие новые структуры созданы при Союзе в этот период?","Негосударственная экспертиза проектов «Союзпетрострой-Эксперт» и ООО «Союзпетрострой-Инновации», ориентированное на внедрение инноваций."
"Какую главную задачу решал «Союзпетрострой» в пятую пятилетку?","Поддержку инвестиционно-строительного комплекса России и Санкт-Петербурга в условиях очередного кризиса и зарубежных санкций."
"В какую рабочую группу при штабе губернатора вошли руководители Союза?","В группу «Улучшение предпринимательского климата в сфере строительства» Штаба по улучшению условий ведения бизнеса Санкт-Петербурга."
"Какие предложения Союза по госзаказу одобрила рабочая группа?","Отмена электронных аукционов как единственного способа торгов, создание реестра дееспособных строительных и проектных организаций, ускорение выдачи разрешений на изыскания и др."
"Когда Л. М. Каплан инициировал обсуждение проблем стройкомплекса на Совете по малому предпринимательству?","20 октября 2019 года."
"На каком форуме Каплан выступил 5 декабря 2019 года?","На Съезде строителей Санкт-Петербурга."
"Какие общественные советы создал Союз при городских комитетах?","При Комитете по развитию транспортной инфраструктуры и при Комитете по строительству Правительства Санкт-Петербурга."
"Сколько заседаний провёл Совет при КРТИ?","Проведено 24 заседания по вопросам транспортной инфраструктуры города."
"Как Союз участвует в деятельности Союза строительных объединений и организаций (ССОО)?","Работает в Президиуме, проводит круглые столы перед конференциями и съездами, участвует в праздновании Дня строителя, формируя велокоманду."
"Какой вклад Союз внёс в программу импортозамещения?","Открыл коллективный стенд в городском Центре импортозамещения (павильон 4 Ленэкспо) и организовал обсуждения импортозамещения в транспортной и энергетической инфраструктуре."
"Что делал Союз в 2017-2018 гг. по переходу на ресурсный метод ценообразования?","Совместно с Союзом инженеров-сметчиков провёл практические семинары и презентовал сметные программы для упрощения перехода."
"Когда государство отложило переход на ресурсный метод и до какого срока?","В начале 2019 года перенос на период после января 2022 года."
"Как Союз помог застройщикам при переходе на проектное финансирование в 2019 году?","Организовал цикл встреч с крупнейшими банками, где объясняли заключение договоров и работу с эскроу-счетами."
"Чем отличался новый формат ежегодных конференций по качеству строительства?","Комплексным рассмотрением всех этапов — от законодательства и градостроительства до производства материалов и эксплуатации объектов — с подключением профильных комитетов города."
"Какой документ готовился по итогам конференций о качестве?","Проект постановления Правительства Санкт-Петербурга о путях повышения качества строительства, намеченный к принятию в 2020 году."
"Какую программу Союз разработал для сохранения потенциала стройкомплекса?","Воссоздание системы повышения квалификации руководителей, инженеров и рабочих с модулями обучения; создан Учебный центр «Союзпетростроя» на базе профильной образовательной организации."
"Как Союз определяет свою миссию спустя 25 лет?","Выражать коренные интересы строителей, укреплять связи бизнеса с властью и активно реагировать на все насущные проблемы отрасли."
"Как называется ежегодная конференция, инициированная «Союзпетростроем» в шестой пятилетке?","«Качество строительства и деловой среды в инвестиционно-строительных комплексах Санкт-Петербурга и Ленинградской области»."
"Что обсуждают на круглых столах, предшествующих конференции по качеству строительства?","Проблемы качества строительства и деловой среды с участием профильных комитетов; выработанные предложения включают в резолюцию конференции ко Всемирному дню качества."
"Как «Союзпетрострой» поддержал строительные компании во время пандемии 2020 года?","Подготовил и направил в правительство города пакет мер поддержки, благодаря чему стройкомплекс смог продолжить работу в условиях ограничений."
"Какое мероприятие об экологии провёл Союз в июне 2021 года?","Научно-практическую конференцию «Экология и строительство: от теории к практике» при поддержке правительства Санкт-Петербурга."
"Какие темы поднимались на конференции «Экология и строительство»?","Экологичные и энергосберегающие материалы, рециклинг стройматериалов, актуализация охранных зон, экологические решения транспортных проблем."
"Когда и с какой целью создана Межведомственная рабочая группа по инженерным изысканиям?","В декабре 2021 г. для упрощения доступа к материалам изысканий и сведениям о подземных коммуникациях Санкт-Петербурга."
"Что такое Реестр открытых компаний и когда он получил одобрение властей?","Создан «Союзпетростроем» и Комитетом по строительству в 2022 г.; в 2023 г. реестр одобрен вице-губернатором Н. В. Линченко."
"Какую книгу издал Союз в 2022 году для сохранения отраслевой памяти?","«Нам каждый камень в этом городе знаком. Очерки истории развития строительной отрасли Ленинграда – Санкт-Петербурга (середина XX – начало XXI вв.)». "
"Что представляет проект «Пропилеи», запущенный в августе 2022 года?","Онлайн-платформа «Союзпетростроя» по сохранению памяти о петербургских строителях, наполняемая отраслевым сообществом."
"Какую сессию Союз провёл на международном бизнес-форуме в сентябре 2024 года?","Совместно с ДОМ.РФ организована сессия «Эскроу-счета: итоги реформы. Новые вызовы для рынка». "
"Каким образом была отмечена работа Союза на форуме 2024 года?","Получены благодарственные письма от вице-губернатора Санкт-Петербурга Н. В. Линченко и председателя Комитета по внешним связям Е. Д. Григорьевой."
"Когда начал работу Центр оценки квалификаций «Союзпетростроя» и что он делает?","С 2023 г. центр проводит независимую оценку квалификаций в строительстве, изысканиях и проектировании; ряд его предложений принят нацобъединениями."
"Что разработал Союз для цифрового взаимодействия отрасли?","В 2021 г. создан многофункциональный интернет-портал, открытый для профсообщества в 2022 году."
"Какую новую инициативу Союз выдвинул в 2024 году?","Концепцию создания отраслевой экосистемы строительного комплекса."
"Какую проблему доверия решает «Союзпетрострой» в строительном комплексе?","Формирует профессиональное сообщество строителей с высоким уровнем взаимного доверия."
"Как называется книга воспоминаний Льва Моисеевича Каплана, изданная в 2023 году?","«Без пяти минут век: сборник очерков-воспоминаний»."
"Кто является автором книги «Без пяти минут век»?","Лев Моисеевич Каплан — заслуженный экономист РФ, почётный строитель России, почётный академик РАН, доктор экономических наук, профессор."
"Кто подготовил книгу к печати?","Под редакцией И. Г. Толдовой."
"Где и когда издан сборник «Без пяти минут век»?","Санкт-Петербург, 2023 год."
"Сколько страниц содержит издание?","276 страниц с иллюстрациями."
"Каков ISBN книги?","ISBN 978-5-907439-71-9."
"Какие основные периоды жизни автора описаны в книге?","Довоенное детство, блокада Ленинграда, университет и «ленинградское дело», работа в строительной отрасли, семейная и общественная жизнь."
"Сколько лет Л. М. Каплан посвятил строительной отрасли?","Более 70 лет."
"В каком году родился Лев Моисеевич Каплан?","В 1929 году."
"Чем ценна книга для широкой аудитории?","Содержит тексты и многочисленные фотографии, раскрывающие историю и развитие строительства Санкт-Петербурга через судьбы его строителей."
"Кому посвящена книга «Без пяти минут век»?","Жене автора — Наталье Терентьевне Каплан, с которой он прожил более 70 лет."
"Кто предоставил фотографии, опубликованные в книге?","Сам автор из личного архива и фотоархив Союзпетростроя."
"Сколько книг написал Л. М. Каплан до этих мемуаров?","К моменту работы над сборником он уже издал 16 книг."
"Какой главный замысел автора книги?","Сохранить память о ленинградских-петербургских строителях, друзьях и соратниках, показав их вклад в развитие города."
"Почему в книге особое внимание уделено фотографиям?","Они наглядно передают лица и жизнь людей, строивших Ленинград-Санкт-Петербург, и служат сохранению исторической памяти."
"Кто выступил издателем книги?","Санкт-Петербургский Союз строительных компаний «Союзпетрострой». "
"Как характеризует книгу «Союзпетрострой»?","Как произведение общественной тематики, направленное на воспитание молодого поколения примером активной гражданской позиции и семейных ценностей."
"Какие жанры соединяет книга?","Мемуары, очерки и фотоальбом."
"Почему книга может быть интересна не только строителям?","Она раскрывает быт и нравы ленинградцев-петербуржцев почти за век, что привлекает читателей, интересующихся историей города."
"Как автор объясняет своё желание написать мемуары?","Хотел сохранить личные воспоминания для правнуков, друзей и всех, кому интересны довоенные, военные и послевоенные годы."
"Когда и где родился Лев Моисеевич Каплан?","14 апреля 1929 года в Ленинграде."
"Как звали родителей Л. М. Каплана и где они родились?","Отец — Моисей Израилевич Каплан (род. 1894, местечко Толочин, Белоруссия); мать — Хая Рися Залмоновна Листмангоф (род. 19 ноября 1896, Невель, Белоруссия)."
"Какое образование было у отца Льва Моисеевича?","Отец окончил лишь два класса хедера и фактически остался без дальнейшего образования."
"Какое образование получила мать Л. М. Каплана?","Мать окончила Первый медицинский институт в Ленинграде в 1924 году после учёбы в Тартуском мединституте."
"Где жила семья Капланов до 1939 года?","В коммунальной квартире в переулке Крылова на углу Садовой улицы."
"Когда и где Лев Каплан пошёл в школу?","В 8 лет поступил в школу на набережной Фонтанки."
"Какой адрес семья получила после переезда и сколько было семей в новой коммуналке?","Дом 119 на канале Грибоедова; там жили шесть семей четырёх национальностей."
"Какое событие 1 декабря 1934 года запомнилось Л. М. Каплану в детстве?","Убийство Сергея Кирова, сопровождавшееся гулом заводских сирен и всеобщей скорбью."
"Как проявились репрессии 1937 года в его доме?","Исчез сосед по фамилии Нихат; родители шёпотом обсуждали, что он «враг народа». "
"Какую агитацию по выборам в Верховный Совет помнит автор?","Плакат с актрисой Корчагиной-Александровской около Александрийского театра."
"Какое дорожно-транспортное происшествие запомнил Каплан до войны?","Падение троллейбуса в Фонтанку зимой; до войны троллейбус ходил по правой стороне реки."
"Что произошло 22 июня 1941 года в жизни семьи?","Началась война; жизнь разделилась на «до» и «после». Отец ушёл в ополчение, мать дежурила врачом, детей готовили к эвакуации."
"Почему Лев и его брат не уехали с детским эшелоном?","На Московском вокзале была толкучка, они не нашли свою школу и вернулись домой."
"Что случилось с детскими эшелонами на станции Лычково?","Фашисты разбомбили поезда; погибло более двух тысяч детей, которым позже поставили памятник."
"Когда замкнулась блокада Ленинграда и что произошло на следующий день?","8 сентября 1941 года блокада замкнулась; 9 сентября сгорели Бадаевские продовольственные склады."
"Как семья использовала пожар на Бадаевских складах?","Мать с сыном собирали оплавленные остатки продуктов, что помогло выжить."
"Какими были бытовые условия зимы 1941-1942 гг. в коммуналке?","Без тепла и света, на стенах иней; воду брали из растопленного снега; пайка — 125 г хлеба по карточкам."
"В каком возрасте и в каком отряде Л. М. Каплан участвовал в противовоздушной обороне?","В 12 лет вступил в подростковый отряд самообороны из 7 человек, тушивший зажигательные бомбы на крыше."
"Каким снаряжением пользовались подростки для тушения зажигалок?","Брезентовые рукавицы, щипцы-«клювик» и ящик с мокрым песком."
"Что чувствовали дети на крыше во время ночных налётов?","Темнота, лёд, снег, гудящие самолёты, прожекторы и падающие бомбы вызывали страх, но они оставались на посту."
"Чем закончилась блокадная зима для младшего брата Льва Каплана?","Несмотря на то что Лев делил с ним свою порцию похлёбки, брат Семён умер от голода и холода зимой 1941–1942 гг."
"Как Лев Каплан оказался в госпитале 23 февраля 1943 года и чем там занимался?","Мать привезла его на санках в свой госпиталь, потому что он уже не мог ходить; там он помогал раненым, читал им книги и письма."
"Когда Л. М. Каплан получил свою первую награду и какую?","В ноябре 1943 года ему вместе с 16 000 ленинградских подростков вручили медаль «За оборону Ленинграда». "
"В каком возрасте и когда автор получил паспорт?","За две недели до Дня Победы, в апреле 1945 года, ему выдали паспорт в 16 лет."
"Как он наверстал пропущенное из-за блокады школьное обучение?","В 1944 году экстерном сдал экзамены за 5–8 классы, пошёл сразу в 9-й и окончил школу в 1946 году."
"На какой факультет Лев Каплан поступил в ЛГУ в 1946 году и почему сменил направление?","Сначала — филфак (отделение журналистики), а через два месяца по совету профессора Бялого перешёл на политико-экономический факультет."
"На каком отделении учился Каплан и кто был его научным руководителем?","На отделении статистики политико-экономического факультета; руководителем был профессор Ликарион В. Некраш."
"Какие знаменитые преподаватели читали ему лекции по истории в университете?","Академики Евгений Тарле и Василий Струве, профессор Андрей Мавродин."
"За что Л. М. Каплан получил комсомольский выговор на первом курсе?","На собрании он сказал, что любит рассказы Михаила Зощенко, после постановления ЦК о журналах «Звезда» и «Ленинград». "
"Как «ленинградское дело» отразилось на преподавателях факультета?","Арестовали и казнили ректора А. А. Вознесенского, декана Рейхарда и ряд профессоров; Некраш умер в тюремной больнице."
"Какое наказание получил сам Лев Каплан за дружбу с сыном ректора Левой Вознесенским?","Ему объявили строгий комсомольский выговор, после чего он избежал более серьёзных репрессий."
"Какое отношение к войне сформировалось у Льва Каплана?","Пережив блокаду, он считал войну абсолютным злом и призывал: «Люди, будьте бдительны — только бы не было войны!»"
"Что означала кампания «борьбы с безродными космополитами» для выпускников ЛГУ конца 1940-х?", "По-сути это был государственный антисемитизм: снимали портреты иностранных учёных, разгоняли Еврейский антифашистский комитет, фабриковали «дело врачей», что особенно осложняло трудоустройство евреев-выпускников."
"Какие объекты строили студенческие отряды ЛГУ, в которых участвовал Л. М. Каплан летом 1947–1948 гг.?", "Шульгинскую, Медведковскую и Михалевскую сельские ГЭС в Волосовском районе Ленинградской области — они работают до сих пор."
"Где Лев Каплан познакомился со своей будущей женой Натальей Ивановой?", "На строительстве этих ГЭС: оба были в одном студенческом стройотряде и учились на экономическом факультете ЛГУ."
"Когда состоялась свадьба Льва и Натальи Каплан и сколько лет они прожили вместе?", "29 октября 1950 г.; супруги прожили более 70 лет до смерти Натальи 19 марта 2021 г."
